state,county_name,Biden_pct,Trump_pct,Jorgensen_pct,total_votes
ALASKA,STATEWIDE,43.60937650655369,53.867553725476846,2.5230697679694636,352626.0
ARIZONA,MARICOPA,50.32405867289705,48.14292428380229,1.53301704330066,2068144.0
ARIZONA,PIMA,58.60544930120658,39.922981877297524,1.4715688214958964,520397.0
ARIZONA,SANTA CRUZ,67.18142769482512,31.673143792186544,1.145428512988341,19556.0
ARIZONA,YUMA,46.092643207738874,52.28030509008171,1.6270517021794193,69881.0
ARKANSAS,FAULKNER,34.22436949708999,64.2087001940009,1.5669303089091182,53608.0
ARKANSAS,PULASKI,60.93591230230362,38.06708825955457,0.9969994381418034,167302.0
CALIFORNIA,ALAMEDA,81.2428067655535,17.92919029335901,0.8280029410874921,760263.0
CALIFORNIA,AMADOR,36.91311631276316,61.50676868746321,1.5801149997736224,22087.0
CALIFORNIA,CONTRA COSTA,72.36725706012906,26.56979138967533,1.0629515501956102,575379.0
CALIFORNIA,DEL NORTE,41.43338058114812,57.23777462792346,1.3288447909284196,11288.0
CALIFORNIA,EL DORADO,44.75938610942512,53.61831266799618,1.6223012225786875,115330.0
CALIFORNIA,FRESNO,53.392620048683334,45.49236556760346,1.115014383713211,361520.0
CALIFORNIA,GLENN,35.714285714285715,63.141426783479346,1.1442875022349366,11186.0
CALIFORNIA,HUMBOLDT,66.15634697798139,32.170829023200824,1.6728239988177924,67670.0
CALIFORNIA,IMPERIAL,62.01913618885809,37.28337655369758,0.6974872574443352,55915.0
CALIFORNIA,INYO,49.392453634619486,49.2432317203155,1.364314645065018,9382.0
CALIFORNIA,KERN,44.19136358816668,54.50243876577245,1.306197646060863,301792.0
CALIFORNIA,KINGS,43.11008645533141,55.497406340057644,1.392507204610951,43375.0
CALIFORNIA,LAKE,52.53885645966664,46.146001828539276,1.3151417117940785,28438.0
CALIFORNIA,LOS ANGELES,71.9472847954579,27.2105983395675,0.8421168649745943,4209867.0
CALIFORNIA,MARIN,83.06871454842135,15.936698697194954,0.9945867543836929,154436.0
CALIFORNIA,MARIPOSA,40.105955067202984,58.373393505346804,1.520651427450211,10193.0
CALIFORNIA,MENDOCINO,67.5,31.113977485928707,1.3860225140712945,42640.0
CALIFORNIA,MERCED,54.84333195266935,44.10325874016277,1.053409307167885,89329.0
CALIFORNIA,MONO,60.327720986169574,37.778111846061336,1.894167167769092,6652.0
CALIFORNIA,NEVADA,56.76038528185835,41.80495496198698,1.4346597561546748,64057.0
CALIFORNIA,ORANGE,53.98539094541036,44.86560837016326,1.1490006844263818,1507832.0
CALIFORNIA,PLACER,45.80656222541308,52.50123229249266,1.6922054820942543,233305.0
CALIFORNIA,RIVERSIDE,53.50527720784968,45.485055506383084,1.0096672857672357,987454.0
CALIFORNIA,SAN BENITO,61.716206280852845,37.07593740153345,1.207856317613696,28563.0
CALIFORNIA,SAN BERNARDINO,54.862818582585064,44.07918094323432,1.0580004741806244,830907.0
CALIFORNIA,SAN DIEGO,60.81783964744378,37.83384716259071,1.3483131899655136,1586130.0
CALIFORNIA,SAN FRANCISCO,86.36222457704534,12.884358899404392,0.7534165235502612,437872.0
CALIFORNIA,SAN JOAQUIN,56.506782062251894,42.46608968874052,1.0271282490075886,285164.0
CALIFORNIA,SAN LUIS OBISPO,55.837980702353406,42.63945268535731,1.5225666122892878,158154.0
CALIFORNIA,SAN MATEO,78.6479383974487,20.393164145761048,0.9588974567902567,370634.0
CALIFORNIA,SANTA BARBARA,65.59977790677132,33.1807283648386,1.2194937283900764,198115.0
CALIFORNIA,SANTA CLARA,73.41804184339024,25.497142721364842,1.0848154352449182,841710.0
CALIFORNIA,SANTA CRUZ,79.95548930273573,18.851959940372463,1.1925507568918097,142887.0
CALIFORNIA,SHASTA,32.5853192275107,66.02763235070493,1.3870484217843722,92066.0
CALIFORNIA,SONOMA,75.39680444677408,23.314264596633997,1.2889309565919127,265181.0
CALIFORNIA,STANISLAUS,49.81221762048193,49.01402484939759,1.173757530120482,212480.0
CALIFORNIA,SUTTER,41.09268154177413,57.67456167333128,1.2327567848945886,42263.0
CALIFORNIA,TEHAMA,31.31611316113161,67.26761553329818,1.4162713055701985,28455.0
CALIFORNIA,TUOLUMNE,39.78608915166412,58.75572975486614,1.4581810934697401,30106.0
CALIFORNIA,VENTURA,60.04528691265549,38.74395696787878,1.210756119465729,418664.0
CALIFORNIA,YUBA,38.17650258362796,60.089747076421,1.733750339951047,29416.0
COLORADO,ADAMS,57.45194571685431,40.950811250481614,1.5972430326640696,233590.0
COLORADO,ALAMOSA,49.060297572435395,49.76507439310885,1.1746280344557558,7662.0
COLORADO,ARAPAHOE,61.67320623756688,36.76105014248469,1.5657436199484343,346353.0
COLORADO,ARCHULETA,41.317563833314914,57.35602962307947,1.3264065436056152,9047.0
COLORADO,BENT,32.53333333333333,66.8,0.6666666666666667,2250.0
COLORADO,BOULDER,77.93552116553748,20.82065752538836,1.2438213090741639,204129.0
COLORADO,BROOMFIELD,63.01360957004161,35.313366851595006,1.6730235783633842,46144.0
COLORADO,CHAFFEE,52.75956082823669,45.8477636135878,1.3926755581755215,13571.0
COLORADO,CHEYENNE,11.5929203539823,87.87610619469027,0.5309734513274336,1130.0
COLORADO,CLEAR CREEK,55.69463761397002,42.55910987482615,1.7462525112038325,6471.0
COLORADO,CONEJOS,45.78172470203318,53.423697125496616,0.7945781724702033,4279.0
COLORADO,COSTILLA,63.42525399129173,35.84905660377358,0.7256894049346879,2067.0
COLORADO,CROWLEY,25.260115606936417,73.46820809248555,1.2716763005780347,1730.0
